sub_emotion_suggested_id,parent_sub_emotion_id,parent_suggested_action_id
1,Agitation,accept_your_emotions
2,Astonishment,accept_your_emotions
3,Calmness,accept_your_emotions
4,Confusion,accept_your_emotions
5,Disorientation,accept_your_emotions
6,Impatience,accept_your_emotions
7,Serenity,accept_your_emotions
8,Compassion,acknowledge_and_accept_your_mistakes
9,Satisfaction,acknowledge_and_accept_your_mistakes
10,Dizziness,acknowledge_your_anger
11,Horror,acknowledge_your_anger
12,Relief,acknowledge_your_anger
13,Startlement,acknowledge_your_anger
14,Suspicion,acknowledge_your_anger
15,Amazement,acknowledge_your_anxiety
16,Elation,acknowledge_your_anxiety
17,Admiration,acknowledge_your_apathy
18,Fascination,acknowledge_your_apathy
19,Hope,acknowledge_your_apathy
20,Trepidation,acknowledge_your_apathy
21,Worry,acknowledge_your_apathy
22,Dependence,acknowledge_your_defeat
23,Pleasure,acknowledge_your_defeat
24,Anxiety,acknowledge_your_disgust
25,Comfort,acknowledge_your_disgust
26,Curiosity,acknowledge_your_disgust
27,Panic,acknowledge_your_disgust
28,Wonder,acknowledge_your_disgust
29,Engagement,acknowledge_your_jealousy
30,Generosity,acknowledge_your_jealousy
31,Intrigue,acknowledge_your_jealousy
32,Trembling,acknowledge_your_jealousy
33,Uneasiness,acknowledge_your_jealousy
34,Alertness,acknowledge_your_sadness
35,Peacefulness,acknowledge_your_sadness
36,Perplexity,acknowledge_your_sadness
37,Sense_of_threat,acknowledge_your_sadness
38,Uncertainty,acknowledge_your_sadness
39,Sympathy,acknowledge_your_success
40,Trembling,acknowledge_your_success
41,Contentment,ask_questions
42,Dependence,ask_questions
43,Pleasure,ask_questions
44,Shock,ask_questions
45,Attachment,attend_a_workshop
46,Excitement,attend_a_workshop
47,Security,believe_in_yourself
48,Triumph,believe_in_yourself
49,Amusement,be_a_supportive_friend
50,Faith,be_a_supportive_friend
51,Security,be_loyal_to_your_friends
52,Triumph,be_loyal_to_your_friends
53,Defeat,be_open_to_new_experiences
54,Pride,be_open_to_new_experiences
55,Defeat,be_patient
56,Pride,be_patient
57,Compassion,celebrate_your_accomplishments
58,Satisfaction,celebrate_your_accomplishments
59,Passion,celebrate_your_achievements
60,Respect,celebrate_your_achievements
61,Dizziness,challenge_your_negative_thoughts
62,Horror,challenge_your_negative_thoughts
63,Relief,challenge_your_negative_thoughts
64,Startlement,challenge_your_negative_thoughts
65,Suspicion,challenge_your_negative_thoughts
66,Compassion,create_a_positive_environment
67,Satisfaction,create_a_positive_environment
68,Optimism,create_a_safe_environment
69,Upset,create_a_safe_environment
70,Anxiety,create_a_support_network
71,Comfort,create_a_support_network
72,Curiosity,create_a_support_network
73,Panic,create_a_support_network
74,Wonder,create_a_support_network
75,Awkwardness,cultivate_healthy_relationships
76,Dread,cultivate_healthy_relationships
77,Focus,cultivate_healthy_relationships
78,Inquisitiveness,cultivate_healthy_relationships
79,Tenderness,cultivate_healthy_relationships
80,Attachment,deep_breathing
81,Excitement,deep_breathing
82,Eagerness,develop_coping_skills
83,Enthusiasm,develop_coping_skills
84,Fright,develop_coping_skills
85,Insecurity,develop_coping_skills
86,Optimism,develop_coping_skills
87,Upset,develop_coping_skills
88,Anxiety,distance_yourself_from_negative_influences
89,Comfort,distance_yourself_from_negative_influences
90,Curiosity,distance_yourself_from_negative_influences
91,Panic,distance_yourself_from_negative_influences
92,Wonder,distance_yourself_from_negative_influences
93,Defeat,embrace_change
94,Pride,embrace_change
95,Contentment,embrace_your_curiosity
96,Shock,embrace_your_curiosity
97,Astonishment,engage_in_creative_activities
98,Serenity,engage_in_creative_activities
99,Awe,engage_in_deep_conversation
100,Enthusiasm,engage_in_deep_conversation
101,Defeat,engage_in_learning_activities
102,Pride,engage_in_learning_activities
103,Admiration,engage_in_motivating_activities
104,Fascination,engage_in_motivating_activities
105,Hope,engage_in_motivating_activities
106,Indifference,engage_in_motivating_activities
107,Trepidation,engage_in_motivating_activities
108,Worry,engage_in_motivating_activities
109,Eagerness,engage_in_physical_activity
110,Enthusiasm,engage_in_physical_activity
111,Fright,engage_in_physical_activity
112,Insecurity,engage_in_physical_activity
113,Optimism,engage_in_physical_activity
114,Upset,engage_in_physical_activity
115,Happiness,engage_in_relaxing_activities
116,Loyalty,engage_in_relaxing_activities
117,Apprehension,engage_in_self_care
118,Bliss,engage_in_self_care
119,Concern,engage_in_self_care
120,Confidence,engage_in_self_care
121,Disarray,engage_in_self_care
122,Disbelief,engage_in_self_care
123,Relaxation,engage_in_self_care
124,Happiness,enjoy_a_cup_of_tea
125,Loyalty,enjoy_a_cup_of_tea
126,Euphoria,enjoy_nature
127,Friendliness,enjoy_nature
128,Security,establish_boundaries
129,Triumph,establish_boundaries
130,Contentment,explore_new_topics
131,Shock,explore_new_topics
132,Bliss,express_admiration_for_others
133,Confidence,express_admiration_for_others
134,Alertness,express_your_frustrations
135,Peacefulness,express_your_frustrations
